epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
161,2153.74,1.27129,0.76701,0.88639,0.87996,0.78427,0.83547,0.6381,1.27227,0.71469,0.90576,7.056e-05,7.056e-05,7.056e-05
162,2167.65,1.27067,0.7606,0.88868,0.87789,0.78398,0.83765,0.64137,1.26448,0.71425,0.90399,6.7326e-05,6.7326e-05,6.7326e-05
163,2179.9,1.28185,0.76943,0.89706,0.86793,0.78115,0.83565,0.63644,1.27937,0.71839,0.90705,6.4092e-05,6.4092e-05,6.4092e-05
164,2193.98,1.28336,0.77441,0.89223,0.88136,0.77974,0.83757,0.637,1.28535,0.71714,0.90738,6.0858e-05,6.0858e-05,6.0858e-05
165,2207.62,1.27513,0.77697,0.89033,0.87722,0.78164,0.83942,0.64116,1.27393,0.71487,0.90527,5.7624e-05,5.7624e-05,5.7624e-05
166,2220.69,1.27026,0.7641,0.88926,0.87848,0.78586,0.83854,0.64138,1.27008,0.71337,0.90528,5.439e-05,5.439e-05,5.439e-05
167,2233.21,1.26692,0.75824,0.89193,0.87577,0.7851,0.83789,0.63841,1.26926,0.71425,0.90478,5.1156e-05,5.1156e-05,5.1156e-05
168,2246.48,1.26852,0.76619,0.88941,0.86924,0.78955,0.83747,0.64212,1.26411,0.71271,0.90353,4.7922e-05,4.7922e-05,4.7922e-05
169,2259.74,1.2437,0.75121,0.88657,0.8749,0.78847,0.8367,0.64092,1.26144,0.71044,0.90356,4.4688e-05,4.4688e-05,4.4688e-05
170,2272.9,1.25551,0.76216,0.88862,0.86481,0.79531,0.84003,0.6436,1.2613,0.70811,0.90329,4.1454e-05,4.1454e-05,4.1454e-05
171,2290.02,1.31118,0.81825,0.90317,0.87461,0.77202,0.83227,0.63085,1.28138,0.7309,0.90869,3.822e-05,3.822e-05,3.822e-05
172,2301.37,1.27284,0.76758,0.89035,0.8729,0.76736,0.82955,0.62571,1.29063,0.74236,0.91084,3.4986e-05,3.4986e-05,3.4986e-05
173,2312.07,1.27277,0.7651,0.89511,0.87041,0.76928,0.8298,0.62873,1.2947,0.74132,0.91278,3.1752e-05,3.1752e-05,3.1752e-05
174,2323.53,1.27776,0.77042,0.89547,0.87312,0.77534,0.83084,0.63079,1.28697,0.73591,0.91022,2.8518e-05,2.8518e-05,2.8518e-05
175,2334.32,1.25203,0.74892,0.88814,0.86255,0.77707,0.82987,0.63178,1.27942,0.73226,0.9085,2.5284e-05,2.5284e-05,2.5284e-05
176,2345.43,1.26816,0.75563,0.8909,0.8857,0.76827,0.83066,0.63369,1.27977,0.73012,0.90823,2.205e-05,2.205e-05,2.205e-05
177,2356.63,1.24716,0.74621,0.88498,0.86034,0.77952,0.82924,0.63297,1.27732,0.72639,0.90733,1.8816e-05,1.8816e-05,1.8816e-05
178,2367.64,1.25344,0.75404,0.89017,0.85238,0.78098,0.82991,0.63241,1.27522,0.72328,0.90712,1.5582e-05,1.5582e-05,1.5582e-05
179,2378.55,1.26701,0.75497,0.89224,0.86514,0.77831,0.83357,0.6335,1.27834,0.7252,0.90759,1.2348e-05,1.2348e-05,1.2348e-05
