epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,6106.66,1.44653,0.95736,0.92626,0.81741,0.68192,0.75418,0.55434,1.38384,0.87017,0.9265,0.000223205,0.000223205,0.000223205
96,6149.53,1.42348,0.93587,0.91902,0.78466,0.68714,0.74617,0.5491,1.39516,0.87474,0.92709,0.000219324,0.000219324,0.000219324
97,6201.44,1.43537,0.94487,0.91727,0.82606,0.674,0.7482,0.5516,1.38152,0.87353,0.92639,0.000215443,0.000215443,0.000215443
98,6241.44,1.42264,0.93224,0.91778,0.81792,0.68372,0.75344,0.55218,1.39145,0.87502,0.92684,0.000211562,0.000211562,0.000211562
99,6379.04,1.42869,0.94387,0.92008,0.81359,0.67662,0.74802,0.53262,1.41632,0.87916,0.92997,0.000207682,0.000207682,0.000207682
100,6408.53,1.42147,0.92178,0.91886,0.82594,0.69019,0.7518,0.54967,1.38488,0.85915,0.92644,0.000203801,0.000203801,0.000203801
101,6438.3,1.39479,0.91388,0.91561,0.81229,0.68577,0.75945,0.55676,1.39351,0.86877,0.92787,0.00019992,0.00019992,0.00019992
102,6506.07,1.43118,0.93153,0.91928,0.82478,0.68877,0.7599,0.55744,1.3776,0.86573,0.92463,0.000196039,0.000196039,0.000196039
103,6547.68,1.39509,0.91222,0.91407,0.83031,0.68533,0.76112,0.56317,1.38153,0.85635,0.92587,0.000192158,0.000192158,0.000192158
104,6614.16,1.38316,0.90285,0.91581,0.83821,0.68944,0.7616,0.56389,1.37387,0.86053,0.92402,0.000188278,0.000188278,0.000188278
105,6650.64,1.4367,0.93609,0.91336,0.84324,0.68315,0.76588,0.55883,1.37827,0.86437,0.92485,0.000184397,0.000184397,0.000184397
106,6693.65,1.40537,0.9199,0.91747,0.84042,0.6926,0.76904,0.56468,1.38016,0.85715,0.92543,0.000180516,0.000180516,0.000180516
107,6760.18,1.3966,0.90524,0.9148,0.82687,0.70395,0.76434,0.565,1.38219,0.85967,0.92397,0.000176635,0.000176635,0.000176635
108,6789.89,1.40093,0.90889,0.91628,0.85628,0.68192,0.76881,0.56783,1.37587,0.84958,0.9229,0.000172754,0.000172754,0.000172754
109,6833.27,1.40112,0.90691,0.91621,0.81555,0.70506,0.77046,0.56806,1.36756,0.84315,0.92252,0.000168874,0.000168874,0.000168874
110,6879.75,1.39869,0.91487,0.91193,0.8325,0.70027,0.76247,0.56498,1.37161,0.85295,0.92208,0.000164993,0.000164993,0.000164993
111,6916.99,1.39453,0.90343,0.91467,0.8096,0.70391,0.76432,0.56553,1.36269,0.84725,0.91982,0.000161112,0.000161112,0.000161112
112,6955.39,1.41534,0.9081,0.9105,0.83747,0.69403,0.76525,0.56467,1.36263,0.84652,0.92149,0.000157231,0.000157231,0.000157231
113,6992.36,1.4074,0.90917,0.91648,0.84573,0.70005,0.77382,0.57123,1.35761,0.83629,0.91891,0.00015335,0.00015335,0.00015335
114,7033.13,1.39025,0.90386,0.90924,0.8557,0.69858,0.77302,0.57404,1.35844,0.83732,0.91827,0.00014947,0.00014947,0.00014947
115,7082.49,1.38635,0.89415,0.91173,0.8461,0.70154,0.7754,0.57471,1.3661,0.83722,0.92088,0.000145589,0.000145589,0.000145589
116,7137.79,1.37694,0.89021,0.91319,0.84115,0.71273,0.7754,0.5767,1.36987,0.83785,0.92095,0.000141708,0.000141708,0.000141708
117,7167.56,1.398,0.89178,0.91023,0.8387,0.71148,0.7794,0.5769,1.36537,0.83178,0.91996,0.000137827,0.000137827,0.000137827
118,7229.15,1.40341,0.90292,0.91121,0.83693,0.71142,0.77289,0.57415,1.36504,0.83152,0.92121,0.000133946,0.000133946,0.000133946
119,7287.45,1.37753,0.88226,0.9104,0.83985,0.70721,0.77677,0.57911,1.35662,0.82972,0.92066,0.000130066,0.000130066,0.000130066
120,7398.86,1.38893,0.89342,0.91194,0.84222,0.70343,0.77127,0.57068,1.37363,0.83495,0.92403,0.000126185,0.000126185,0.000126185
121,7431.49,1.38595,0.88005,0.91683,0.84172,0.7067,0.77394,0.57449,1.35843,0.83344,0.91975,0.000122304,0.000122304,0.000122304
122,7509.63,1.3881,0.88892,0.90438,0.84105,0.71225,0.77354,0.57053,1.3647,0.83356,0.92023,0.000118423,0.000118423,0.000118423
123,7538.44,1.39647,0.88076,0.91567,0.83931,0.71356,0.77659,0.5777,1.35291,0.82291,0.91771,0.000114542,0.000114542,0.000114542
124,7572.55,1.39348,0.88982,0.90556,0.8576,0.69935,0.76997,0.5728,1.35105,0.82884,0.91714,0.000110662,0.000110662,0.000110662
125,7637.22,1.36155,0.86888,0.90421,0.86755,0.69631,0.77815,0.58124,1.35269,0.82625,0.91813,0.000106781,0.000106781,0.000106781
126,7672.45,1.37805,0.87339,0.90812,0.86878,0.6958,0.77739,0.57953,1.34909,0.82003,0.91673,0.0001029,0.0001029,0.0001029
127,7701.28,1.35913,0.86865,0.9062,0.8579,0.71458,0.7798,0.58202,1.34694,0.8173,0.91598,9.90192e-05,9.90192e-05,9.90192e-05
128,7738.85,1.38805,0.88354,0.91104,0.84836,0.71257,0.78229,0.5875,1.3441,0.81887,0.91571,9.51384e-05,9.51384e-05,9.51384e-05
129,7773.77,1.38139,0.87115,0.90427,0.84681,0.70562,0.77612,0.57836,1.34708,0.82045,0.91689,9.12576e-05,9.12576e-05,9.12576e-05
130,7848.49,1.35333,0.86749,0.9081,0.81017,0.72862,0.78095,0.58312,1.34268,0.81973,0.9157,8.73768e-05,8.73768e-05,8.73768e-05
131,7891.8,1.37024,0.86852,0.90585,0.83159,0.72616,0.78354,0.58407,1.3435,0.81748,0.91588,8.3496e-05,8.3496e-05,8.3496e-05
132,7944.18,1.36337,0.86727,0.90727,0.84109,0.71365,0.78021,0.57965,1.34496,0.8198,0.9164,7.96152e-05,7.96152e-05,7.96152e-05
133,7977.61,1.33258,0.84802,0.90292,0.8347,0.72353,0.78253,0.57945,1.34895,0.81706,0.91704,7.57344e-05,7.57344e-05,7.57344e-05
134,8129.74,1.38187,0.8741,0.91078,0.8356,0.72469,0.78256,0.58157,1.34651,0.81387,0.91603,7.18536e-05,7.18536e-05,7.18536e-05
135,8160.22,1.36282,0.86162,0.90503,0.81527,0.73418,0.78185,0.58782,1.33429,0.80719,0.91324,6.79728e-05,6.79728e-05,6.79728e-05
136,8190.18,1.3624,0.85947,0.90506,0.80094,0.74121,0.78701,0.58971,1.34013,0.80432,0.91398,6.4092e-05,6.4092e-05,6.4092e-05
137,8218.52,1.36432,0.85915,0.90135,0.82553,0.72843,0.78722,0.58855,1.33428,0.80342,0.91283,6.02112e-05,6.02112e-05,6.02112e-05
138,8246.76,1.3424,0.85447,0.90335,0.83505,0.72035,0.78789,0.58328,1.3417,0.80711,0.91562,5.63304e-05,5.63304e-05,5.63304e-05
139,8283.3,1.36964,0.86276,0.90126,0.86745,0.70459,0.7837,0.58185,1.34158,0.81186,0.91487,5.24496e-05,5.24496e-05,5.24496e-05
140,8321.56,1.34818,0.8534,0.90712,0.84016,0.72335,0.78551,0.58352,1.34265,0.80454,0.91463,4.85688e-05,4.85688e-05,4.85688e-05
141,8485.69,1.37103,0.87313,0.90582,0.84888,0.70305,0.77398,0.56977,1.36989,0.83365,0.92131,4.4688e-05,4.4688e-05,4.4688e-05
142,8555.15,1.35907,0.86605,0.90517,0.82709,0.72398,0.78214,0.58017,1.3553,0.83052,0.91848,4.08072e-05,4.08072e-05,4.08072e-05
143,8608.32,1.36922,0.86355,0.90555,0.83939,0.72063,0.7821,0.57833,1.35954,0.83136,0.9189,3.69264e-05,3.69264e-05,3.69264e-05
144,8672.02,1.34894,0.85023,0.90169,0.84672,0.71701,0.78108,0.57841,1.35916,0.82474,0.91813,3.30456e-05,3.30456e-05,3.30456e-05
145,8706.29,1.34773,0.84733,0.90268,0.8496,0.71823,0.77876,0.58031,1.35378,0.8231,0.9176,2.91648e-05,2.91648e-05,2.91648e-05
146,8746.64,1.3515,0.8465,0.90161,0.85495,0.71412,0.77816,0.57798,1.35202,0.82224,0.91692,2.5284e-05,2.5284e-05,2.5284e-05
147,8782.98,1.33741,0.83913,0.89976,0.84549,0.71331,0.78096,0.58154,1.34636,0.81867,0.91563,2.14032e-05,2.14032e-05,2.14032e-05
148,8827.61,1.34659,0.84231,0.90045,0.83675,0.7196,0.78045,0.57948,1.34658,0.81736,0.91665,1.75224e-05,1.75224e-05,1.75224e-05
149,8880.08,1.32856,0.83157,0.89772,0.81746,0.72903,0.77821,0.57788,1.34944,0.81887,0.91655,1.36416e-05,1.36416e-05,1.36416e-05
150,8949.01,1.35196,0.84061,0.90081,0.84501,0.71545,0.7778,0.57936,1.34654,0.81761,0.91593,9.7608e-06,9.7608e-06,9.7608e-06
